RAPORT Z EGZAMINU WSTEPNEGO
========================================================================================
| POZ  |  ID  | MATURA | TEORIA | PRAKT. | SUMA(T+P) | STATUS                      |
| #028 | 0775 | TAK |   75%  |   68%  |  143 | PRZYJĘTY         |
| #029 | 0859 | TAK |   70%  |   73%  |  143 | PRZYJĘTY         |
| #030 | 0976 | TAK |   63%  |   80%  |  143 | PRZYJĘTY         |
| #031 | 0978 | TAK |   90%  |   53%  |  143 | PRZYJĘTY         |
| #032 | 1011 | TAK |   79%  |   64%  |  143 | PRZYJĘTY         |
| #033 | 0925 | TAK |   56%  |   86%  |  142 | PRZYJĘTY         |
| #034 | 0075 | TAK |   52%  |   89%  |  141 | PRZYJĘTY         |
| #035 | 0716 | TAK |   65%  |   76%  |  141 | PRZYJĘTY         |
| #036 | 1012 | TAK |   69%  |   72%  |  141 | PRZYJĘTY         |
| #037 | 1162 | TAK |   68%  |   73%  |  141 | PRZYJĘTY         |
| #038 | 0036 | TAK |   50%  |   90%  |  140 | PRZYJĘTY         |
| #039 | 0235 | TAK |   73%  |   67%  |  140 | PRZYJĘTY         |
| #040 | 0375 | TAK |   59%  |   81%  |  140 | PRZYJĘTY         |
| #041 | 0798 | TAK |   75%  |   65%  |  140 | PRZYJĘTY         |
| #042 | 1081 | TAK |   77%  |   63%  |  140 | PRZYJĘTY         |
| #043 | 0111 | TAK |   58%  |   81%  |  139 | PRZYJĘTY         |
| #044 | 0188 | TAK |   74%  |   65%  |  139 | PRZYJĘTY         |
| #045 | 0267 | TAK |   66%  |   73%  |  139 | PRZYJĘTY         |
| #046 | 0014 | TAK |   57%  |   81%  |  138 | PRZYJĘTY         |
| #047 | 0097 | TAK |   57%  |   81%  |  138 | PRZYJĘTY         |
| #048 | 0172 | TAK |   71%  |   67%  |  138 | PRZYJĘTY         |
| #049 | 0294 | TAK |   65%  |   73%  |  138 | PRZYJĘTY         |
| #050 | 0391 | TAK |   65%  |   73%  |  138 | PRZYJĘTY         |
| #051 | 0474 | TAK |   70%  |   68%  |  138 | PRZYJĘTY         |
| #052 | 0509 | TAK |   69%  |   69%  |  138 | PRZYJĘTY         |
| #053 | 0575 | TAK |   64%  |   74%  |  138 | PRZYJĘTY         |
| #054 | 0046 | TAK |   55%  |   82%  |  137 | PRZYJĘTY         |
| #055 | 0494 | TAK |   72%  |   65%  |  137 | PRZYJĘTY         |
| #056 | 0508 | TAK |   67%  |   70%  |  137 | PRZYJĘTY         |
| #057 | 0549 | TAK |   67%  |   70%  |  137 | PRZYJĘTY         |
| #058 | 0600 | TAK |   61%  |   76%  |  137 | PRZYJĘTY         |
| #059 | 0711 | TAK |   86%  |   51%  |  137 | PRZYJĘTY         |
| #060 | 1086 | TAK |   64%  |   73%  |  137 | PRZYJĘTY         |
| #061 | 0190 | TAK |   55%  |   81%  |  136 | PRZYJĘTY         |
| #062 | 0255 | TAK |   62%  |   74%  |  136 | PRZYJĘTY         |
| #063 | 0397 | TAK |   80%  |   56%  |  136 | PRZYJĘTY         |
| #064 | 0529 | TAK |   86%  |   50%  |  136 | PRZYJĘTY         |
| #065 | 0539 | TAK |   63%  |   73%  |  136 | PRZYJĘTY         |
| #066 | 0601 | TAK |   70%  |   66%  |  136 | PRZYJĘTY         |
| #067 | 1032 | TAK |   53%  |   83%  |  136 | PRZYJĘTY         |
| #068 | 1033 | TAK |   65%  |   71%  |  136 | PRZYJĘTY         |
| #069 | 1127 | TAK |   84%  |   52%  |  136 | PRZYJĘTY         |
| #070 | 1163 | TAK |   73%  |   63%  |  136 | PRZYJĘTY         |
| #071 | 0212 | TAK |   66%  |   69%  |  135 | PRZYJĘTY         |
| #072 | 0724 | TAK |   76%  |   59%  |  135 | PRZYJĘTY         |
| #073 | 0738 | TAK |   70%  |   65%  |  135 | PRZYJĘTY         |
| #074 | 0908 | TAK |   75%  |   60%  |  135 | PRZYJĘTY         |
| #075 | 1077 | TAK |   49%  |   86%  |  135 | PRZYJĘTY         |
| #076 | 1106 | TAK |   71%  |   64%  |  135 | PRZYJĘTY         |
| #077 | 1112 | TAK |   60%  |   75%  |  135 | PRZYJĘTY         |
| #078 | 1195 | TAK |   56%  |   79%  |  135 | PRZYJĘTY         |
| #079 | 0672 | TAK |   63%  |   71%  |  134 | PRZYJĘTY         |
| #080 | 0709 | TAK |   77%  |   57%  |  134 | PRZYJĘTY         |
| #081 | 0774 | TAK |   75%  |   59%  |  134 | PRZYJĘTY         |
| #082 | 1143 | TAK |   77%  |   57%  |  134 | PRZYJĘTY         |
| #083 | 1191 | TAK |   60%  |   74%  |  134 | PRZYJĘTY         |
| #084 | 0011 | TAK |   70%  |   63%  |  133 | PRZYJĘTY         |
| #085 | 0226 | TAK |   55%  |   78%  |  133 | PRZYJĘTY         |
| #086 | 0240 | TAK |   69%  |   64%  |  133 | PRZYJĘTY         |
| #087 | 0433 | TAK |   72%  |   61%  |  133 | PRZYJĘTY         |
| #088 | 0561 | TAK |   81%  |   52%  |  133 | PRZYJĘTY         |
| #089 | 0604 | TAK |   75%  |   58%  |  133 | PRZYJĘTY         |
| #090 | 0662 | TAK |   56%  |   77%  |  133 | PRZYJĘTY         |
| #091 | 0767 | TAK |   81%  |   52%  |  133 | PRZYJĘTY         |
| #092 | 0777 | TAK |   65%  |   68%  |  133 | PRZYJĘTY         |
| #093 | 0028 | TAK |   48%  |   84%  |  132 | PRZYJĘTY         |
| #094 | 0576 | TAK |   49%  |   83%  |  132 | PRZYJĘTY         |
| #095 | 0936 | TAK |   49%  |   83%  |  132 | PRZYJĘTY         |
| #096 | 1154 | TAK |   65%  |   67%  |  132 | PRZYJĘTY         |
| #097 | 0094 | TAK |   64%  |   67%  |  131 | PRZYJĘTY         |
| #098 | 0138 | TAK |   80%  |   51%  |  131 | PRZYJĘTY         |
| #099 | 0244 | TAK |   70%  |   61%  |  131 | PRZYJĘTY         |
| #100 | 0299 | TAK |   56%  |   75%  |  131 | PRZYJĘTY         |
| #101 | 0965 | TAK |   71%  |   60%  |  131 | PRZYJĘTY         |
| #102 | 0154 | TAK |   60%  |   70%  |  130 | PRZYJĘTY         |
| #103 | 0545 | TAK |   62%  |   68%  |  130 | PRZYJĘTY         |
| #104 | 0818 | TAK |   59%  |   71%  |  130 | PRZYJĘTY         |
| #105 | 0901 | TAK |   54%  |   76%  |  130 | PRZYJĘTY         |
| #106 | 0970 | TAK |   74%  |   56%  |  130 | PRZYJĘTY         |
| #107 | 1151 | TAK |   71%  |   59%  |  130 | PRZYJĘTY         |
| #108 | 0026 | TAK |   53%  |   76%  |  129 | PRZYJĘTY         |
| #109 | 0198 | TAK |   58%  |   71%  |  129 | PRZYJĘTY         |
| #110 | 0318 | TAK |   64%  |   65%  |  129 | PRZYJĘTY         |
| #111 | 0344 | TAK |   63%  |   66%  |  129 | PRZYJĘTY         |
| #112 | 0424 | TAK |   64%  |   65%  |  129 | PRZYJĘTY         |
| #113 | 0570 | TAK |   71%  |   58%  |  129 | PRZYJĘTY         |
| #114 | 0650 | TAK |   62%  |   67%  |  129 | PRZYJĘTY         |
| #115 | 0844 | TAK |   55%  |   74%  |  129 | PRZYJĘTY         |
| #116 | 1008 | TAK |   43%  |   86%  |  129 | PRZYJĘTY         |
| #117 | 1065 | TAK |   59%  |   70%  |  129 | PRZYJĘTY         |
| #118 | 0002 | TAK |   59%  |   69%  |  128 | PRZYJĘTY         |
| #119 | 0053 | TAK |   59%  |   69%  |  128 | PRZYJĘTY         |
| #120 | 0194 | TAK |   71%  |   57%  |  128 | PRZYJĘTY         |
| #121 | 0199 | TAK |   73%  |   55%  |  128 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #122 | 0321 | TAK |   46%  |   82%  |  128 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #123 | 0351 | TAK |   43%  |   85%  |  128 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #124 | 0355 | TAK |   61%  |   67%  |  128 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #125 | 0393 | TAK |   56%  |   72%  |  128 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #126 | 0527 | TAK |   58%  |   70%  |  128 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #127 | 0554 | TAK |   62%  |   66%  |  128 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #128 | 0556 | TAK |   46%  |   82%  |  128 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #129 | 0653 | TAK |   51%  |   77%  |  128 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #130 | 0706 | TAK |   56%  |   72%  |  128 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #131 | 0055 | TAK |   63%  |   64%  |  127 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #132 | 0148 | TAK |   50%  |   77%  |  127 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #133 | 0216 | TAK |   70%  |   57%  |  127 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #134 | 0295 | TAK |   57%  |   70%  |  127 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #135 | 0333 | TAK |   60%  |   67%  |  127 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #136 | 0367 | TAK |   74%  |   53%  |  127 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #137 | 0506 | TAK |   69%  |   58%  |  127 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #138 | 0525 | TAK |   90%  |   37%  |  127 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #139 | 0589 | TAK |   60%  |   67%  |  127 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #140 | 0652 | TAK |   58%  |   69%  |  127 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #141 | 0842 | TAK |   67%  |   60%  |  127 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #142 | 0906 | TAK |   57%  |   70%  |  127 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #143 | 1034 | TAK |   70%  |   57%  |  127 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #144 | 1088 | TAK |   54%  |   73%  |  127 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #145 | 1165 | TAK |   54%  |   73%  |  127 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #146 | 1182 | TAK |   68%  |   59%  |  127 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #147 | 0141 | TAK |   75%  |   51%  |  126 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #148 | 0224 | TAK |   66%  |   60%  |  126 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #149 | 0343 | TAK |   43%  |   83%  |  126 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #150 | 0585 | TAK |   59%  |   67%  |  126 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #151 | 0868 | TAK |   73%  |   53%  |  126 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #152 | 1018 | TAK |   72%  |   54%  |  126 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #153 | 1148 | TAK |   42%  |   84%  |  126 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #154 | 1194 | TAK |   57%  |   69%  |  126 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #155 | 0093 | TAK |   69%  |   56%  |  125 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #156 | 0256 | TAK |   73%  |   52%  |  125 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #157 | 0502 | TAK |   54%  |   71%  |  125 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #158 | 0565 | TAK |   55%  |   70%  |  125 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #159 | 0740 | TAK |   56%  |   69%  |  125 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #160 | 0771 | TAK |   41%  |   84%  |  125 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #161 | 0832 | TAK |   70%  |   55%  |  125 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #162 | 0946 | TAK |   69%  |   56%  |  125 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #163 | 0973 | TAK |   50%  |   75%  |  125 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #164 | 1022 | TAK |   52%  |   73%  |  125 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #165 | 1059 | TAK |   46%  |   79%  |  125 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #166 | 1074 | TAK |   46%  |   79%  |  125 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #167 | 1172 | TAK |   57%  |   68%  |  125 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #168 | 0285 | TAK |   53%  |   71%  |  124 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #169 | 0305 | TAK |   70%  |   54%  |  124 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #170 | 0682 | TAK |   39%  |   85%  |  124 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #171 | 0704 | TAK |   79%  |   45%  |  124 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #172 | 0764 | TAK |   64%  |   60%  |  124 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #173 | 0825 | TAK |   58%  |   66%  |  124 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #174 | 0861 | TAK |   55%  |   69%  |  124 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #175 | 0127 | TAK |   43%  |   80%  |  123 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #176 | 0352 | TAK |   78%  |   45%  |  123 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #177 | 0439 | TAK |   61%  |   62%  |  123 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #178 | 0458 | TAK |   55%  |   68%  |  123 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #179 | 0478 | TAK |   70%  |   53%  |  123 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #180 | 0513 | TAK |   54%  |   69%  |  123 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #181 | 0615 | TAK |   58%  |   65%  |  123 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #182 | 0624 | TAK |   65%  |   58%  |  123 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #183 | 0895 | TAK |   36%  |   87%  |  123 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #184 | 1006 | TAK |   53%  |   70%  |  123 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #185 | 1087 | TAK |   43%  |   80%  |  123 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #186 | 1193 | TAK |   55%  |   68%  |  123 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #187 | 0006 | TAK |   67%  |   55%  |  122 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #188 | 0222 | TAK |   77%  |   45%  |  122 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #189 | 0412 | TAK |   57%  |   65%  |  122 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #190 | 0465 | TAK |   73%  |   49%  |  122 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #191 | 0472 | TAK |   58%  |   64%  |  122 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #192 | 0537 | TAK |   48%  |   74%  |  122 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #193 | 0611 | TAK |   59%  |   63%  |  122 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #194 | 0781 | TAK |   66%  |   56%  |  122 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #195 | 0836 | TAK |   66%  |   56%  |  122 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #196 | 1161 | TAK |   48%  |   74%  |  122 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #197 | 0128 | TAK |   64%  |   57%  |  121 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #198 | 0451 | TAK |   85%  |   36%  |  121 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #199 | 0534 | TAK |   65%  |   56%  |  121 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #200 | 0648 | TAK |   50%  |   71%  |  121 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #201 | 0779 | TAK |   68%  |   53%  |  121 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #202 | 0915 | TAK |   57%  |   64%  |  121 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #203 | 1145 | TAK |   62%  |   59%  |  121 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #204 | 1177 | TAK |   55%  |   66%  |  121 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #205 | 0052 | TAK |   59%  |   61%  |  120 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #206 | 0057 | TAK |   59%  |   61%  |  120 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #207 | 0221 | TAK |   36%  |   84%  |  120 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #208 | 0562 | TAK |   64%  |   56%  |  120 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #209 | 0638 | TAK |   53%  |   67%  |  120 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #210 | 0848 | TAK |   57%  |   63%  |  120 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #211 | 0921 | TAK |   48%  |   72%  |  120 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #212 | 0995 | TAK |   52%  |   68%  |  120 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #213 | 1079 | TAK |   61%  |   59%  |  120 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #214 | 1168 | TAK |   67%  |   53%  |  120 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #215 | 0181 | TAK |   71%  |   48%  |  119 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #216 | 0346 | TAK |   68%  |   51%  |  119 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #217 | 0364 | TAK |   59%  |   60%  |  119 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #218 | 0410 | TAK |   44%  |   75%  |  119 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #219 | 0416 | TAK |   49%  |   70%  |  119 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #220 | 0607 | TAK |   70%  |   49%  |  119 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #221 | 0655 | TAK |   47%  |   72%  |  119 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #222 | 0677 | TAK |   50%  |   69%  |  119 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #223 | 0686 | TAK |   64%  |   55%  |  119 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #224 | 0754 | TAK |   49%  |   70%  |  119 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #225 | 0833 | TAK |   60%  |   59%  |  119 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #226 | 0918 | TAK |   55%  |   64%  |  119 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #227 | 0042 | TAK |   64%  |   54%  |  118 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #228 | 0084 | TAK |   61%  |   57%  |  118 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #229 | 0169 | TAK |   39%  |   79%  |  118 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #230 | 0208 | TAK |   36%  |   82%  |  118 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #231 | 0268 | TAK |   52%  |   66%  |  118 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #232 | 0350 | TAK |   58%  |   60%  |  118 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #233 | 0452 | TAK |   49%  |   69%  |  118 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #234 | 0533 | TAK |   65%  |   53%  |  118 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #235 | 0591 | TAK |   47%  |   71%  |  118 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #236 | 0635 | TAK |   51%  |   67%  |  118 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #237 | 0661 | TAK |   52%  |   66%  |  118 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #238 | 0679 | TAK |   53%  |   65%  |  118 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #239 | 0790 | TAK |   65%  |   53%  |  118 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #240 | 0803 | TAK |   61%  |   57%  |  118 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #241 | 0897 | TAK |   71%  |   47%  |  118 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #242 | 0969 | TAK |   63%  |   55%  |  118 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #243 | 0035 | TAK |   44%  |   73%  |  117 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #244 | 0106 | TAK |   51%  |   66%  |  117 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #245 | 0137 | TAK |   49%  |   68%  |  117 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #246 | 0189 | TAK |   46%  |   71%  |  117 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #247 | 0332 | TAK |   53%  |   64%  |  117 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #248 | 0542 | TAK |   55%  |   62%  |  117 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #249 | 0588 | TAK |   62%  |   55%  |  117 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #250 | 0614 | TAK |   56%  |   61%  |  117 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #251 | 0625 | TAK |   67%  |   50%  |  117 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #252 | 0636 | TAK |   65%  |   52%  |  117 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #253 | 0688 | TAK |   64%  |   53%  |  117 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #254 | 0710 | TAK |   49%  |   68%  |  117 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #255 | 0723 | TAK |   52%  |   65%  |  117 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #256 | 0733 | TAK |   77%  |   40%  |  117 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #257 | 0745 | TAK |   53%  |   64%  |  117 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #258 | 0806 | TAK |   51%  |   66%  |  117 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #259 | 0876 | TAK |   52%  |   65%  |  117 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #260 | 1152 | TAK |   53%  |   64%  |  117 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #261 | 0265 | TAK |   58%  |   58%  |  116 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #262 | 0284 | TAK |   64%  |   52%  |  116 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #263 | 0406 | TAK |   54%  |   62%  |  116 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #264 | 0425 | TAK |   54%  |   62%  |  116 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #265 | 0504 | TAK |   47%  |   69%  |  116 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #266 | 0596 | TAK |   77%  |   39%  |  116 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #267 | 0609 | TAK |   54%  |   62%  |  116 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #268 | 0664 | TAK |   57%  |   59%  |  116 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #269 | 0671 | TAK |   53%  |   63%  |  116 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #270 | 0739 | TAK |   50%  |   66%  |  116 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #271 | 0797 | TAK |   44%  |   72%  |  116 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #272 | 0869 | TAK |   50%  |   66%  |  116 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #273 | 0971 | TAK |   68%  |   48%  |  116 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #274 | 0981 | TAK |   53%  |   63%  |  116 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #275 | 0998 | TAK |   50%  |   66%  |  116 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #276 | 0015 | TAK |   66%  |   49%  |  115 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #277 | 0168 | TAK |   65%  |   50%  |  115 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #278 | 0395 | TAK |   58%  |   57%  |  115 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #279 | 0431 | TAK |   69%  |   46%  |  115 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #280 | 0608 | TAK |   54%  |   61%  |  115 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #281 | 0768 | TAK |   68%  |   47%  |  115 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #282 | 0855 | TAK |   52%  |   63%  |  115 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #283 | 0893 | TAK |   46%  |   69%  |  115 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #284 | 0938 | TAK |   57%  |   58%  |  115 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #285 | 1051 | TAK |   48%  |   67%  |  115 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #286 | 1070 | TAK |   71%  |   44%  |  115 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #287 | 1096 | TAK |   43%  |   72%  |  115 | NIEPRZYJĘTY (BRAK MIEJSC) |
